ISBN,library,available,location
9789864799961,台北市立圖書館,不可借,A12民生/一般書庫區
9789863989493,台北市立圖書館,可借,C01總館/虛擬館藏
9786267063866,台北市立圖書館,可借,C01總館/虛擬館藏
9789861755267,台北市立圖書館,可借,C01總館/虛擬館藏
9789573342076,台北市立圖書館,不可借,A12民生/一般書庫區
9789863714101,台北市立圖書館,不可借,A12民生/兒童室
9789576587399,台北市立圖書館,可借,C01總館/虛擬館藏
9789861344454,台北市立圖書館,可借,C01總館/虛擬館藏
9789861344393,台北市立圖書館,不可借,B11永春/一般書庫區
9789861366838,台北市立圖書館,不可借,A14中崙/一般書庫區
9789869866262,台北市立圖書館,可借,C01總館/虛擬館藏
9786263538870,台北市立圖書館,不可借,A12民生/一般書庫區
9786267118634,台北市立圖書館,不可借,A12民生/一般書庫區
9789861755373,台北市立圖書館,可借,C01總館/虛擬館藏
9789861366968,台北市立圖書館,不可借,A12民生/一般書庫區
